Tract,Pop_Total,%White,%Black,%Hispanic_Latino,%Asian,%Other,%Mixed,Median_Income,%Edu_Att
36005020000,4711,2.759499044788792,9.382296752281894,61.197198047123756,23.3920611335173,2.080237741456166,1.188707280832095,40184,15.51687539800467
36005020501,6976,1.0464449541284404,26.333142201834864,71.5309633027523,0.7884174311926605,0.0,0.30103211009174313,17601,7.1244266055045875
36005020502,2160,1.6666666666666667,26.435185185185183,71.48148148148148,0.1388888888888889,0.0,0.2777777777777778,18919,13.703703703703704
36005020900,4287,3.8255190109633777,37.60205271751808,57.87263820853744,0.2565896897597387,0.2099370188943317,0.2332633543270352,31190,10.566829951014697
36005021001,8930,2.1836506159014557,50.47032474804032,36.12541993281075,8.80179171332587,1.2094064949608063,1.2094064949608063,54076,18.96976483762598
36005021002,7613,1.1296466570340207,46.82779456193353,30.1852095100486,20.780244318928148,0.144489688690398,0.9326152633652962,55961,17.443846052804414
36005021700,5124,1.9711163153786107,46.77985948477752,47.81420765027322,2.537080405932865,0.273224043715847,0.624512099921936,36420,7.2989851678376265
36005022101,4133,0.26615049600774254,21.65497217517542,71.54609242680861,5.685942414710864,0.19356399709654004,0.6532784902008226,32600,10.08952334865715
36005022102,5411,1.0164479763444834,13.25078543707263,84.10644982443172,0.60986878580669,0.0,1.0164479763444834,32792,6.523747920901866
36005022200,3293,5.496507743698755,10.689341026419678,48.34497418767082,28.302459763133918,4.0996052232007285,3.067112055876101,51064,10.567871242028545
36005023800,2241,18.25078090138331,16.956715751896475,53.81526104417671,7.764390896921017,0.0,3.2128514056224895,52599,14.323962516733602
36005016000,3666,53.54609929078015,3.1369339879978178,36.852154937261325,3.709765411893071,2.2640480087288597,0.4909983633387889,79756,20.56737588652482
36005016200,1870,31.60427807486631,4.171122994652406,59.03743315508021,4.652406417112299,0.53475935828877,0.0,81210,12.459893048128343
36005016500,965,0.0,46.01036269430052,53.056994818652846,0.932642487046632,0.0,0.0,26739,8.704663212435234
36005017500,6536,2.8304773561811505,35.66401468788249,57.84883720930233,0.26009791921664627,1.591187270501836,1.8053855569155446,26630,6.150550795593635
36005021501,4565,1.226725082146769,21.642935377875137,76.99890470974809,0.0,0.0,0.13143483023001096,33750,8.87185104052574
36005021502,6532,0.2908756889161053,23.270055113288425,75.03061849357012,0.0,0.612369871402327,0.7960808328230252,25238,9.078383343539498
36005023000,2802,19.02212705210564,17.808708065667382,51.67737330478231,9.172019985724482,0.0,2.3197715917201998,38958,14.09707351891506
36005025300,6199,0.3871592192289079,13.389256331666397,79.56121955154057,3.4360380706565574,1.4518470721084045,1.774479754799161,36481,6.194547507662526
36005026100,2097,4.721030042918455,46.11349546971864,43.29995231282785,3.338102050548403,0.0,2.527420123986648,76272,39.866475917978065
36005027900,7379,14.636129556850522,10.760265618647512,68.07155441116683,4.417942810678953,0.29814337986176986,1.8159642227944168,56033,20.070470253421874
36005030000,6021,31.672479654542435,10.181033050988209,49.47683109118087,7.008802524497591,0.0,1.6608536787908985,59899,22.22222222222222
36005031900,633,50.55292259083728,14.691943127962084,27.014218009478675,6.003159557661927,0.0,1.7377567140600316,-666666666,8.846761453396525
36005034000,5606,5.440599357830895,38.19122368890475,48.62647163753122,3.5140920442383163,2.7470567249375666,1.48055654655726,52772,10.470924009989298
36005034400,2172,2.85451197053407,33.33333333333333,54.41988950276243,6.8139963167587485,2.578268876611418,0.0,63017,23.756906077348066
36005035000,2063,5.671352399418323,57.92535142995637,27.96897721764421,6.349975763451285,1.0179350460494425,1.0664081434803683,74583,22.297624818225884
36005036100,5576,0.44835007173601144,26.291248206599715,73.20659971305595,0.05380200860832138,0.0,0.0,21947,3.6226685796269726
36005036501,3901,0.30761343245321715,44.86029223276083,54.34503973340169,0.0,0.0,0.4870546013842604,27304,8.433734939759036
36005022403,3194,19.755792110206638,23.60676268002505,53.9448966812774,0.8140262993112084,0.31308703819661865,1.5654351909830932,51767,19.7871008140263
36005023703,5574,1.2737710800143525,17.133118048080373,80.64226767133118,0.3588087549336204,0.41263006817366343,0.1794043774668102,30109,3.4983853606027986
36005024501,4871,1.3960172449189079,15.992609320468077,80.78423321699856,0.8211866146581811,1.0059536029562717,0.0,24146,4.229111065489633
36005024502,3677,0.7614903453902638,21.512102257274954,77.72640739733478,0.0,0.0,0.0,29835,7.234158281207506
36005022404,4203,17.749226742802758,17.939566975969544,56.41208660480609,5.567451820128479,1.5703069236259815,0.7613609326671426,53346,25.933856768974543
36005023704,3803,0.36813042334998686,17.749145411517222,80.75203786484354,0.0,0.6836707862214042,0.4470155140678412,20679,3.8916644754141463
36005026701,4185,2.795698924731183,11.589008363201913,73.40501792114695,12.210274790919952,0.0,0.0,47656,14.217443249701315
36005026702,7895,2.98923369221026,12.298923369221026,83.11589613679544,0.0,0.0,1.5959468017732743,35557,9.436352121595947
36005027401,4693,69.61431919880673,1.8751331770722353,26.635414447048795,1.8751331770722353,0.0,0.0,87500,20.58384828467931
36005027402,3481,65.41223786268314,2.9014650962367137,27.520827348463083,1.3789141051422005,1.7236426314277506,1.062912956047113,88654,24.648089629416834
36005044901,1763,77.14123652864436,8.848553601815087,11.684628474191719,1.8150879183210438,0.0,0.5104934770277936,69200,29.268292682926827
36005046201,28109,7.054679995730904,58.42612686328222,28.851969120210608,3.116439574513501,0.34152762460421926,2.2092568216585433,52601,19.538226190899714
36005046202,9912,1.1501210653753027,62.81275221953187,31.900726392251816,1.261097659402744,2.0581113801452786,0.8171912832929782,62532,15.18361581920904
